isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
-51.1	80	KPN799	CHIFF	C	N	4	9	7.1	31.1	10	NA	18	43	NA	NA	NA	26.6	3	O	4	55	6.7	2	2	RJ	08:20	14/11/2017	48	N	Y	5	8.079	0.0527	71	7.991568227
-107.7	93	KRN803	CHIFF	T	N	4	8	5.9	34.6	9.9	NA	18.2	48	NA	NA	NA	25.3	3	O	4	58	6.7	2	1	RJ	08:30	14/11/2017	48	N	Y	5	7.221	0.0689	58.41	7.77573822
-64.8	76	KRN816	CHIFF	C	N	4	8	6.2	34.8	13.8	NA	18.6	49	NA	NA	NA	26.3	3	O	5	59	8.5	4	2	RJ	10:10	14/11/2017	48	N	Y	5	8.835	0.1288	85.56	9.347426084
-67.2	89	KPN704	CHIFF	A	R	4.5	9.5	7.8	33	11.4	NA	18.4	44	NA	NA	NA	27.6	3	O	4	56	7.5	2	2	RJ	10:15	14/11/2017	48	N	Y	5	8.705	0.0642	88.92	8.471643338
-51.8	36	KP9800	CHIFF	C	N	5	9	6.9	32.1	11.2	NA	18.7	46	NA	NA	NA	27.4	3	O	4	57	6.8	1	1	RJ	11:00	14/11/2017	48	N	Y	5	7.603	0.0754	77.28	7.379249738
-64.9	103	KRN811	CHIFF	C	N	4	8	7	32.7	10.6	NA	19.2	43	NA	NA	NA	27.1	3	O	0	56	7.3	2	2	RJ	11:10	14/11/2017	48	N	Y	5	8.473	0.0642	74.2	7.420483441
-66.7	55	KRN818	CHIFF	A	N	4	9.5	5.6	33.9	10.7	NA	19.2	44	NA	NA	NA	27.3	3	O	5	58	7	0	1	RJ	11:20	14/11/2017	48	N	Y	5	7.544	0.0879	59.92	7.115532067
-90.1	8	KRN820	CHIFF	T	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	62	7.8	3	2	KW	08:00	16/11/2017	50	N	Y	5	7.301	NA	NA	NA
-88.6	85	KRN825	CHIFF	T	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	62	8.1	4	3	KW	08:00	16/11/2017	50	N	Y	5	7.581	NA	NA	NA
-101	19	KRN830	CHIFF	T	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	61	7.3	2	2	KW	09:00	16/11/2017	50	N	Y	5	7.072	NA	NA	NA
-94	63	KRN833	CHIFF	T	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	64	7.8	1	2	KW	09:00	16/11/2017	50	N	Y	5	6.827	NA	NA	NA
-112.9	90	KRN844	CHIFF	T	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	56	7.2	3	2	KW	10:30	16/11/2017	50	N	Y	5	8.357	NA	NA	NA
-117.9	109	KRN819	CHIFF	T	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	56	7.6	3	2	KW	10:40	16/11/2017	50	N	Y	5	8.813	NA	NA	NA
-56.8	73	KRN854	CHIFF	C	N	4.5	7.5	6.3	36.4	11.1	NA	19.3	48	NA	NA	NA	26.9	3	O	4	61	6.9	0	1	RJ	10:20	17/11/2017	51	N	Y	6	6.684	0.0786	69.93	6.924181642
-58.2	72	KRN855	CHIFF	C	N	4	8.5	7.9	37.2	9.5	NA	19.9	49	NA	NA	NA	27.5	3	O	1	63	8.1	2	1	RJ	10:30	17/11/2017	51	N	Y	6	7.329	0.0253	75.05	7.534612739
-55.4	48	KRN848	CHIFF	C	N	4.5	8.5	6.6	32	10.7	NA	19.6	45	NA	NA	NA	28.1	3	O	5	56	6.8	1	1	RJ	10:40	17/11/2017	51	N	Y	6	7.893	0.0732	70.62	6.567959827
-54.3	64	KRN856	CHIFF	C	N	4	8	6.9	35.8	11.6	NA	19.4	47	NA	NA	NA	27	3	O	4	60	6.7	0	1	RJ	10:50	17/11/2017	51	N	Y	6	6.721	0.0783	80.04	6.637936206
-72.3	26	KRN860	CHIFF	A	N	4	8	6.2	36.8	12.2	NA	19.2	46	NA	NA	NA	26.9	3	O	3	61	7.9	2	1	RJ	11:50	17/11/2017	51	N	Y	6	7.653	0.0983	75.64	8.03038619
-93.3	7	KRN863	CHIFF	T	N	4	8	6.5	38.1	11.9	NA	19.1	50	NA	NA	NA	26.6	3	O	3	63	8.4	2	1	RJ	12:40	17/11/2017	51	N	Y	6	7.601	0.0857	77.35	8.649834451
-55.1	58	KRN865	CHIFF	C	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	60	6.8	0	1	JB	08:30	19/11/2017	53	N	Y	6	6.822	NA	NA	NA
